shop_id,name,website,myshopify_domain,categories,commission,cookie,payout_rate,payout_period,approval_rate,offer_score,recommend_score,avg_order_value,application_review,offer_status,program_id,mkp_listing_id,apply_url,hashtags,shop_plan
247189,.gg/retatide,https://retatide.xyz,0hwnkn-s7.myshopify.com,Uncategorized,20% per order,30,No data yet,You'll get a payout week,62.5%,0.92,1.01,0,manual,2,288918,37566,https://af.uppromote.com/retatideaffiliate/register,"[""#glp1"", ""#glp3"", ""#weightloss"", ""#peptides"", ""#fatburning"", ""#ozempic"", ""#retatrutide"", ""#trizepitide"", ""#muscle""]",growth_affiliate
176847,013Tsaka,https://013tsaka.com,fgrnwz-68.myshopify.com,"Fashion, Art",3% per order,30,No data yet,,28.57%,,,,manual,2,201494,33325,https://af.uppromote.com/fgrnwz-68/register,"[""""]",Free
83205,0cm,https://0cm.com/pages/affiliate-programme,0cm76.myshopify.com,"Fashion, Jewelry & Accessories, Beauty & Health",10% per order,30,0%,3 business days,100%,2.84,4.6,77.3,auto,2,95263,20568,https://af.uppromote.com/0cm/register,"[""""]",Professional
83839,1 DROP GALLERY,https://1dropgallery.com,resartgalery.myshopify.com,Art,0% per order,10,No data yet,,11.11%,0.72,0.86,1083.3,manual,2,95996,20235,https://af.uppromote.com/resartgalery/register,[],Free
113748,1 Percent Fitness Store,https://1percentfit.com/pages/how-it-works,1-percent-fitness-store.myshopify.com,"Beauty & Health, Grocery & Food",10% per order,60,83.82%,You will receive payment before the 10th of the month,89%,3.11,4.73,148.3,manual,2,128916,27892,https://af.uppromote.com/1-percent-fitness-store/register,"[""#mealprep"", ""#fitness"", ""#nutrition"", ""#mealservice"", ""#weightloss"", ""#cleaneating"", ""#fitfam"", ""#transformation"", ""#gym"", ""#food"", ""#macros""]",Professional
10000,1 Season At A Time,https://www.1seasonatatime.com,1-season-at-a-time.myshopify.com,"Home & Tools, Books, Mom & Kids",10% per order,30,No data yet,,84.09%,0.87,,,auto,2,10772,311,https://af.uppromote.com/1-season-at-a-time/register,[],Free
58739,100DailyHealth,https://100dailyhealth.com,100dailyhealth.myshopify.com,"Beauty & Health, Grocery & Food, Mom & Kids",$20.00 per item,30,0%,Get Paid Weekly!,41.67%,1.16,1.58,64.7,manual,2,66153,14146,https://af.uppromote.com/100dailyhealth/register,"[""""]",Professional
287515,10COUNT,https://10count.co.uk,thgg0c-xf.myshopify.com,Apparel & Accessories,8% per order,30,No data yet,30 days,100%,,,31.52,manual,2,341707,40704,https://af.uppromote.com/10count/register,"[""#fashion"", ""#apparel"", ""#clothing"", ""#boxing"", ""#fitness"", ""#activewear"", ""#sportswear"", ""#cap"", ""#headwear""]",growth_affiliate
174676,111 & Company,https://111company.store/,5i2yc9-b7.myshopify.com,Beauty & Health,25% per order,30,No data yet,,75%,0.85,1.1,39.5,manual,2,198883,33104,https://af.uppromote.com/5i2yc9-b7/register,"[""#Health"", ""#Supplements"", ""#Vitamins"", ""#Beauty"", ""#Wellness""]",Free
30085,123-hanf.de,https://www.123-hanf.de,123-hanf-de.myshopify.com,"Beauty & Health, Pet supplies, Others",10% per order,30,No data yet,,100%,0.92,,0,auto,2,32721,4144,https://af.uppromote.com/123-hanf-de/register,[],Free
103530,143toInfinity,https://143toinfinity.myshopify.com,143toinfinity.myshopify.com,"Fashion, Sports & Entertainment, Art",10% per order,30,No data yet,,12%,0.75,0.98,0,manual,2,117589,24411,https://af.uppromote.com/143toinfinity/register,"[""""]",Free
83739,1820 Brewing,https://www.1820brewing.com,1820-brewing.myshopify.com,"Sports & Entertainment, Garden & Outdoors, Grocery & Food",10% per order,30,0%,,73.68%,1.5,1.6,52.9,auto,2,96685,20609,https://af.uppromote.com/1820-brewing/register,[],Professional
142412,1921Movement,https://1921movement.com,1921movement.myshopify.com,Fashion,5% per order,30,97.54%,Monthly on the 15th,96.99%,3.7,5.14,84.7,auto,2,161498,33949,https://af.uppromote.com/1921movement/register,"[""""]",growth_affiliate
53675,1984 Farms,https://shop-1984farms.myshopify.com,shop-1984farms.myshopify.com,"Beauty & Health, Books",$14.00 per item,30,0%,,7.69%,1.02,1.22,124.2,manual,2,60015,12092,https://af.uppromote.com/shop-1984farms/register,[],Free
156932,19FortyEight,https://19fortyeight.co,9fec00-d1.myshopify.com,Fashion,10% per order,60,No data yet,,21.74%,,,,manual,2,178538,31035,https://af.uppromote.com/19FortyEight/register,"[""""]",Free
237690,1Clickblinds,https://1clickblinds.co.uk,831ba5-4.myshopify.com,Furniture,15% per order,30,No data yet,30 days,79.06%,2.71,3.2,115.06,manual,2,277243,36983,https://af.uppromote.com/831ba5-4/register,"[""""]",growth_affiliate
172592,1eurocbd,https://www.1eurocbd.com,zdne1p-hc.myshopify.com,"Beauty & Health, Others",10% per order,30,No data yet,,9.09%,,,,manual,2,196367,32835,https://af.uppromote.com/zdne1p-hc/register,"[""""]",Free
175335,1o1. Deals,https://wns77b-ws.myshopify.com,wns77b-ws.myshopify.com,"Phone & Telecommunication, Electronics",10% per order,30,No data yet,,33.33%,,,,manual,2,200051,33284,https://af.uppromote.com/wns77b-ws/register,"[""""]",Free
58770,1st Mini Skincare Fridges With LED Mirror | COOSEON®,https://cooseon.com,cooseon.myshopify.com,"Fashion, Beauty & Health, Mom & Kids",20% per order,90,No data yet,,100%,1.44,,,auto,2,66190,15981,https://af.uppromote.com/COOSEON/register,[],Free
13166,2 Birds Boutique,https://2birdsboutique.com,2birdsboutique.myshopify.com,"Fashion, Jewelry & Accessories, Mom & Kids",10% per order,30,No data yet,,10.42%,0.8,0.8,0,manual,2,14246,847,https://af.uppromote.com/2birdsboutique/register,[],Free
37113,2023 MegaSafety NZ,https://megasafety.co.nz,mega-safety-nz.myshopify.com,"Fashion, Home & Tools, Garden & Outdoors",20% per order,30,No data yet,,96.43%,1.22,,0,auto,2,40675,6626,https://af.uppromote.com/mega-safety-nz/register,[],Free
35497,208 Supply Co,https://208supplyco.com,208-supply-co.myshopify.com,"Fashion, Garden & Outdoors, Others",15% per order,30,82.61%,,40.79%,0.97,0.99,312.6,manual,2,41481,5716,https://af.uppromote.com/208-supply-co/register,[],Free
167236,21st Century Essential,https://21stcenturyessential.com,21stcenturyessential.myshopify.com,"Toys & Hobbies, Mom & Kids",10%-20% per order,30,100%,Payments are sent on the 15th of each month via PayPal or DC for the previous month’s earnings.,96%,1.3,1.59,0,auto,2,190178,36230,https://af.uppromote.com/21stcenturyessential/register,"[""#babyproducts"", ""#parenting"", ""#japanesediapers"", ""#momlife"", ""#ecobaby"", ""#merries"", ""#moony"", ""#oyasumiman"", ""#motherhood"", ""#baby"", ""#parents""]",Free
135729,224 DIGITAL,https://224digital.co.uk,841239-2.myshopify.com,Others,£7.50 per order,30,68.56%,,99.06%,1.71,,41.43,auto,2,153575,28748,https://af.uppromote.com/841239-2/register,"[""""]",growth_affiliate
104271,225 Clothing Company ,https://225clothing.com,goodstuff-1300.myshopify.com,Fashion,10% per order,30,No data yet,,31.82%,0.77,0.85,0,manual,2,118441,24890,https://af.uppromote.com/goodstuff-1300/register,"[""""]",Free
185599,285 Clothing Brand,https://285clothing.com,t8t81r-t2.myshopify.com,Fashion,50% per order,30,0%,,6.25%,0.72,0.82,69.2,manual,2,211249,33918,https://af.uppromote.com/t8t81r-t2/register,"[""""]",growth_affiliate
85341,28GOODS,https://28goods.com,www-28goods-com.myshopify.com,Sports & Entertainment,10% per order,30,No data yet,,4.26%,0.9,0.9,6407.92,manual,2,97671,20847,https://af.uppromote.com/www-28goods-com/register,[],Free
59930,2CloudE,https://2cloude.co.uk,2cloude.myshopify.com,"Beauty & Health, Electronics, Others",5% per order,90,0%,,91.14%,1.17,1.4,0,auto,2,67559,13477,https://af.uppromote.com/2cloude/register,[],Free
116700,2Docs Formula,https://2docs.co,2docs.myshopify.com,Beauty & Health,10% per order,30,No data yet,,0%,0.7,,,manual,2,132240,26975,https://af.uppromote.com/2docs/register,"[""""]",Free
226690,2K WRLD,https://2kwrld.com,dbe840.myshopify.com,"Fashion, Jewelry & Accessories",10% per order,30,93.33%,Monthly or as agreed.,1.54%,2.68,4.31,95.74,manual,2,300750,38388,https://af.uppromote.com/2kwrld/register,"[""#fashion"", ""#streetware""]",growth_affiliate
33498,2Sisters Eyewear,https://2sisterseyewear.com,2sisterseyewear.myshopify.com,Fashion,15% per order,30,0%,,44.44%,0.82,0.82,0,manual,2,36532,5449,https://af.uppromote.com/2sisterseyewear/register,[],Free
255913,3 Baristas Coffee Roasters,https://3baristasorganic.com,3-baristas-coffee.myshopify.com,"Food, Beverages & Tobacco",12% per order,30,No data yet,1st of each month,19.05%,1.17,1.33,89.9,manual,2,299797,38328,https://af.uppromote.com/3-baristas-coffee/register,"[""""]",growth_affiliate
163513,3 Dragons Brewing,https://3dragonsbrewing.com,3dragonsbrewing.myshopify.com,"Others, Grocery & Food",10% per order,30,74.24%,,64.81%,2.56,3.02,220.2,manual,2,185986,31751,https://af.uppromote.com/3dragonsbrewing/register,"[""#kava"", ""#kavabar"", ""#relaxation"", ""#nonalcoholicbuzz"", ""#wellness""]",growth_affiliate
42611,3 Kings Grooming,https://3kingsgrooming.com,3-kings-grooming.myshopify.com,"Jewelry & Accessories, Beauty & Health, Others",10% per order,90,0%,,4.76%,0.75,0.9,0,manual,2,47113,8032,https://af.uppromote.com/3-kings-grooming/register,[],Free
163906,360 Metrix Inc.,https://store.360metrix.com,1a5e0b-77.myshopify.com,"Computers & Office, Software & Digital products",15% per order,30,No data yet,,16.67%,0.67,,,manual,2,186411,31796,https://af.uppromote.com/1a5e0b-77/register,"[""#service"", ""#computer"", ""#sales"", ""#customer"", ""#info"", ""#internet"", ""#"", ""#fun"", ""#custom"", ""#good""]",Free
100032,360spices,https://360spices.com/products/safran,360spices-4851.myshopify.com,Grocery & Food,€5.00 per order,30,No data yet,,15%,0.67,0.74,0,manual,2,113818,23663,https://af.uppromote.com/360spices-4851/register,"[""""]",Free
10822,361 Degrees,https://www.361usa.com,361-usa.myshopify.com,Sports & Entertainment,10% per order,30,89.6%,,37.87%,2.4,2.45,140.5,manual,2,11651,407,https://af.uppromote.com/361-usa/register,[],Professional
77960,369-Life,https://appleducky.com,appleducky-store.myshopify.com,"Fashion, Beauty & Health, Art",10% per order,30,No data yet,,33.33%,0.75,,,manual,2,89383,21611,https://af.uppromote.com/appleducky-store/register,"[""""]",Free
42587,3AtomsJewel,https://3atomsjewel.com,gmtgemstonery.myshopify.com,Jewelry & Accessories,10% per order,30,50%,,100%,0.95,0.95,0,auto,2,47089,7948,https://af.uppromote.com/3atomsjewel/register,[],Free
194133,3D Filaments,https://absfilament.com,njzby9-qq.myshopify.com,Electronics,10% per order,30,No data yet,,29.41%,1.55,,2285.22,manual,2,221233,34351,https://af.uppromote.com/njzby9-qq/register,"[""""]",Free
64457,3D My Rental,https://www.3dmyrental.com,vacation-rental-floorplan.myshopify.com,Others,15% per order,30,33.33%,,62.71%,0.92,1.01,707,manual,2,73095,15083,https://af.uppromote.com/vacation-rental-floorplan/register,"[""""]",Free
